SETTLEMENTDATE,Energy Price ($/MWh),Solar Generation (MW),,
1/07/2016 0:00,101.84,0,,
1/07/2016 1:00,47.565,0,,
1/07/2016 2:00,36.02,0,,
1/07/2016 3:00,29.865,0,,
1/07/2016 4:00,25.7,0,,
1/07/2016 5:00,41.67,0,,
1/07/2016 6:00,74.92,0,,
1/07/2016 7:00,222.685,28.14806,,
1/07/2016 8:00,232.365,48.965808,,
1/07/2016 9:00,149.435,55.092052,,
1/07/2016 10:00,91.075,63.094804,,
1/07/2016 11:00,161.94,60.87306,,
1/07/2016 12:00,100.16,60.280888,,
1/07/2016 13:00,145.29,60.411688,,
1/07/2016 14:00,63.84,58.097964,,
1/07/2016 15:00,77.34,47.192212,,
1/07/2016 16:00,79.68,20.156244,,
1/07/2016 17:00,116.73,0,,
1/07/2016 18:00,238.705,0,,
1/07/2016 19:00,120.3,0,,
1/07/2016 20:00,103.6,0,,
1/07/2016 21:00,87.76,0,,
1/07/2016 22:00,96.695,0,,
1/07/2016 23:00,120.065,0,,
2/07/2016 0:00,71.795,0,,
2/07/2016 1:00,60.27,0,,
2/07/2016 2:00,38.63,0,,
2/07/2016 3:00,51.245,0,,
2/07/2016 4:00,52.92,0,,
2/07/2016 5:00,49.255,0,,
2/07/2016 6:00,37.815,0,,
2/07/2016 7:00,80.475,30.650732,,
2/07/2016 8:00,186.395,57.676824,,
2/07/2016 9:00,122.355,66.673008,,
2/07/2016 10:00,69.05,65.898768,,
2/07/2016 11:00,54.52,63.708824,,
2/07/2016 12:00,39.515,62.45614,,
2/07/2016 13:00,36.975,61.892484,,
2/07/2016 14:00,34.905,59.507872,,
2/07/2016 15:00,53.35,48.379736,,
2/07/2016 16:00,72.935,20.933676,,
2/07/2016 17:00,99.6,0,,
2/07/2016 18:00,186.465,0,,
2/07/2016 19:00,88.71,0,,
2/07/2016 20:00,122.205,0,,
2/07/2016 21:00,138.075,0,,
2/07/2016 22:00,102.875,0,,
2/07/2016 23:00,172.38,0,,
3/07/2016 0:00,57.71,0,,
3/07/2016 1:00,46.37,0,,
3/07/2016 2:00,38.425,0,,
3/07/2016 3:00,47.945,0,,
3/07/2016 4:00,30.735,0,,
3/07/2016 5:00,31.735,0,,
3/07/2016 6:00,31.415,0,,
3/07/2016 7:00,48.835,29.962226,,
3/07/2016 8:00,125.48,57.723652,,
3/07/2016 9:00,83.52,66.629868,,
3/07/2016 10:00,43.965,65.776192,,
3/07/2016 11:00,60.335,63.54656,,
3/07/2016 12:00,48.5,62.283888,,
3/07/2016 13:00,34.145,61.83534,,
3/07/2016 14:00,48.245,59.531304,,
3/07/2016 15:00,53.63,48.483612,,
3/07/2016 16:00,72.415,21.239356,,
3/07/2016 17:00,109.75,0,,
3/07/2016 18:00,200,0,,
3/07/2016 19:00,91.805,0,,
3/07/2016 20:00,100.765,0,,
3/07/2016 21:00,91.77,0,,
3/07/2016 22:00,71.34,0,,
3/07/2016 23:00,60.54,0,,
4/07/2016 0:00,50.38,0,,
4/07/2016 1:00,31.005,0,,
4/07/2016 2:00,28.58,0,,
4/07/2016 3:00,29.045,0,,
4/07/2016 4:00,28.515,0,,
4/07/2016 5:00,34.84,0,,
4/07/2016 6:00,70.745,0,,
4/07/2016 7:00,208.49,30.013924,,
4/07/2016 8:00,287.975,57.805236,,
4/07/2016 9:00,275.9,66.91084,,
4/07/2016 10:00,175.955,66.180732,,
4/07/2016 11:00,123.9,63.964476,,
4/07/2016 12:00,114.81,62.682724,,
4/07/2016 13:00,143.745,62.306576,,
4/07/2016 14:00,148.575,59.869392,,
4/07/2016 15:00,140.115,48.914384,,
4/07/2016 16:00,129.66,21.54379,,
4/07/2016 17:00,135.44,0,,
4/07/2016 18:00,166.9,0,,
4/07/2016 19:00,117.695,0,,
4/07/2016 20:00,132.56,0,,
4/07/2016 21:00,124.115,0,,
4/07/2016 22:00,113.075,0,,
4/07/2016 23:00,129.89,0,,
5/07/2016 0:00,73.81,0,,
5/07/2016 1:00,47.19,0,,
5/07/2016 2:00,45.85,0,,
5/07/2016 3:00,43.61,0,,
5/07/2016 4:00,38.25,0,,
5/07/2016 5:00,54.39,0,,
5/07/2016 6:00,126.775,0,,
5/07/2016 7:00,180.82,26.002062,,
5/07/2016 8:00,240.88,57.7973,,
5/07/2016 9:00,278.22,66.918748,,
5/07/2016 10:00,268.745,65.966368,,
5/07/2016 11:00,173.52,63.60438,,
5/07/2016 12:00,203.96,62.443308,,
5/07/2016 13:00,227.47,61.939188,,
5/07/2016 14:00,161.685,59.571912,,
5/07/2016 15:00,146.005,48.66668,,
5/07/2016 16:00,96.43,21.924106,,
5/07/2016 17:00,114.26,0,,
5/07/2016 18:00,125.235,0,,
5/07/2016 19:00,88.685,0,,
5/07/2016 20:00,98.54,0,,
5/07/2016 21:00,61.085,0,,
5/07/2016 22:00,80.99,0,,
5/07/2016 23:00,70.025,0,,
6/07/2016 0:00,59.645,0,,
6/07/2016 1:00,49.145,0,,
6/07/2016 2:00,36.46,0,,
6/07/2016 3:00,30.975,0,,
6/07/2016 4:00,30.71,0,,
6/07/2016 5:00,39.07,0,,
6/07/2016 6:00,63.965,0,,
6/07/2016 7:00,133.175,25.881916,,
6/07/2016 8:00,93.06,57.743312,,
6/07/2016 9:00,92.46,66.730408,,
6/07/2016 10:00,82.665,66.117284,,
6/07/2016 11:00,79.92,63.980652,,
6/07/2016 12:00,62.805,62.4638,,
6/07/2016 13:00,55.39,62.100784,,
6/07/2016 14:00,78.31,59.946388,,
6/07/2016 15:00,125.96,48.983232,,
6/07/2016 16:00,124.645,22.14215,,
6/07/2016 17:00,146.405,0,,
6/07/2016 18:00,287.68,0,,
6/07/2016 19:00,202.825,0,,
6/07/2016 20:00,215.18,0,,
6/07/2016 21:00,135.39,0,,
6/07/2016 22:00,170.6,0,,
6/07/2016 23:00,130.105,0,,
7/07/2016 0:00,98.03,0,,
7/07/2016 1:00,81.45,0,,
7/07/2016 2:00,60.31,0,,
7/07/2016 3:00,62.995,0,,
7/07/2016 4:00,58.33,0,,
7/07/2016 5:00,68.495,0,,
7/07/2016 6:00,169.84,0,,
7/07/2016 7:00,204.215,25.527718,,
7/07/2016 8:00,218.675,57.350456,,
7/07/2016 9:00,177.92,66.711992,,
7/07/2016 10:00,100.82,65.974584,,
7/07/2016 11:00,146.695,63.92756,,
7/07/2016 12:00,167.05,62.612684,,
7/07/2016 13:00,139.22,62.302496,,
7/07/2016 14:00,104.7,59.758344,,
7/07/2016 15:00,203.775,49.074932,,
7/07/2016 16:00,152.945,22.38023,,
7/07/2016 17:00,157.985,0,,
7/07/2016 18:00,169.18,0,,
7/07/2016 19:00,127.215,0,,
7/07/2016 20:00,117.625,0,,
7/07/2016 21:00,123.3,0,,
7/07/2016 22:00,104.385,0,,
7/07/2016 23:00,166.52,0,,
8/07/2016 0:00,109.715,0,,
8/07/2016 1:00,69.725,0,,
8/07/2016 2:00,62.77,0,,
8/07/2016 3:00,37.8,0,,
8/07/2016 4:00,33.945,0,,
8/07/2016 5:00,44.66,0,,
8/07/2016 6:00,60.32,0,,
8/07/2016 7:00,63.645,25.466384,,
8/07/2016 8:00,137.01,55.895152,,
8/07/2016 9:00,135.9,65.497556,,
8/07/2016 10:00,155.995,64.914656,,
8/07/2016 11:00,97.605,56.255792,,
8/07/2016 12:00,60.49,55.193756,,
8/07/2016 13:00,62.805,60.256864,,
8/07/2016 14:00,81.985,58.451508,,
8/07/2016 15:00,49.665,48.864288,,
8/07/2016 16:00,54.165,22.5095,,
8/07/2016 17:00,70.27,0,,
8/07/2016 18:00,78.595,0,,
8/07/2016 19:00,70.28,0,,
8/07/2016 20:00,145.66,0,,
8/07/2016 21:00,78.06,0,,
8/07/2016 22:00,87.37,0,,
8/07/2016 23:00,84.455,0,,
9/07/2016 0:00,62.54,0,,
9/07/2016 1:00,41.025,0,,
9/07/2016 2:00,41.25,0,,
9/07/2016 3:00,34.965,0,,
9/07/2016 4:00,30.58,0,,
9/07/2016 5:00,37.78,0,,
9/07/2016 6:00,34.5,0,,
9/07/2016 7:00,39.875,13.124887,,
9/07/2016 8:00,57.735,16.309218,,
9/07/2016 9:00,64.345,12.432096,,
9/07/2016 10:00,51.425,20.34869,,
9/07/2016 11:00,40.86,17.117414,,
9/07/2016 12:00,36.725,36.225368,,
9/07/2016 13:00,37.085,33.304362,,
9/07/2016 14:00,38.63,13.479269,,
9/07/2016 15:00,48.235,12.418369,,
9/07/2016 16:00,55.515,5.4208145,,
9/07/2016 17:00,82.19,0,,
9/07/2016 18:00,103.185,0,,
9/07/2016 19:00,78.945,0,,
9/07/2016 20:00,71.445,0,,
9/07/2016 21:00,97.755,0,,
9/07/2016 22:00,66.19,0,,
9/07/2016 23:00,60.25,0,,
10/07/2016 0:00,44.245,0,,
10/07/2016 1:00,33.57,0,,
10/07/2016 2:00,26.97,0,,
10/07/2016 3:00,24.08,0,,
10/07/2016 4:00,21.03,0,,
10/07/2016 5:00,20.505,0,,
10/07/2016 6:00,23.245,0,,
10/07/2016 7:00,26.58,3.65176725,,
10/07/2016 8:00,30.42,6.9122315,,
10/07/2016 9:00,35.025,9.254731,,
10/07/2016 10:00,38.135,11.237768,,
10/07/2016 11:00,32.72,18.553998,,
10/07/2016 12:00,31.12,12.210402,,
10/07/2016 13:00,30.6,8.2972255,,
10/07/2016 14:00,28.275,8.666363,,
10/07/2016 15:00,31.545,15.242234,,
10/07/2016 16:00,39.725,4.7042475,,
10/07/2016 17:00,61.225,0,,
10/07/2016 18:00,68.52,0,,
10/07/2016 19:00,58.625,0,,
10/07/2016 20:00,52.585,0,,
10/07/2016 21:00,44.495,0,,
10/07/2016 22:00,38.255,0,,
10/07/2016 23:00,29.525,0,,
11/07/2016 0:00,26.25,0,,
11/07/2016 1:00,22.715,0,,
11/07/2016 2:00,20.305,0,,
11/07/2016 3:00,9.22,0,,
11/07/2016 4:00,11,0,,
11/07/2016 5:00,25.695,0,,
11/07/2016 6:00,30.16,0,,
11/07/2016 7:00,47.925,7.4921665,,
11/07/2016 8:00,88.325,40.346952,,
11/07/2016 9:00,66.57,54.733328,,
11/07/2016 10:00,67.11,40.945844,,
